amount,club,rnd,state
22500,Margaret River Squad Swim Club,1,WA
140000,Melville Water Polo Club,1,WA
11000,Modernians Hockey Club Inc,1,WA
80000,Nedlands Tennis Club,1,WA
8000,Safety Bay Tennis Club,1,WA
108205,Shire Of Bridgetown-Greenbushes,1,WA
76733,Shire Of Bruce Rock,1,WA
50000,Shire Of Dumbleyung,1,WA
245791,Shire Of Mundaring,1,WA
130000,Toodyay Bowling Club,1,WA
50000,Wa Isports Inc,1,WA
50000,Western Australian Rugby Union Inc,1,WA
49500,Westonia Golf Club Inc,1,WA
15000,Yerecoin Tennis Club (Incorporated),1,WA
38925,Yuna Tennis Club,1,WA
17000,Allen Park Tennis Club,2,WA
20000,Balga Soccer Club,2,WA
25000,Ballingup Tennis Club,2,WA
15000,Binnu Tennis Club Incorporated,2,WA
10000,Brunswick Tennis Club Inc,2,WA
183333,City Of Albany,2,WA
500000,City Of Belmont,2,WA
500000,City Of Joondalup,2,WA
500000,City Of Wanneroo,2,WA
170140,Claremont Football Club,2,WA
17752,Cowaramup Bmx Club,2,WA
200000,East Fremantle Junior Football Club,2,WA
40502,East Kimberley Cricket Association,2,WA
50000,Esperance Cycling Club,2,WA
50000,Geraldton Surf Life Saving Club Inc.,2,WA
11445,Geraldton Tennis Club,2,WA
16458,"Golden West Dolphin Swimming Club, Trading As Australind Swimming Club",2,WA
150000,Great Northern Football League,2,WA
180000,Kalamunda Districts Rugby Union Club,2,WA
46070,Melville Cricket Club,2,WA
47439,< Melville Glades Golf Club,2,WA
30000,Melville Water Polo Club,2,WA
150460,Mundaring Tennis Club Inc.,2,WA
49085,Nollamara Sports And Recreation Club,2,WA
50000,Northern Redbacks Women'S Soccer Club,2,WA
50000,Peel Thunder Football Club Inc.,2,WA
137000,Secret Harbour Golf Club,2,WA
66666,Shire Of Capel,2,WA
11000,Shire Of Koorda,2,WA
15158,Shire Of Serpentine Jarrahdale,2,WA
45886,Shire Of West Arthur,2,WA
30000,South Mandurah Football Club Inc,2,WA
168100,Swan Districts Football Club Inc,2,WA
18000,Town Of Port Hedland,2,WA
50000,Western Australian Smallbore Rifle Association Inc,2,WA
30000,Westside Bmx Club,2,WA
500000,Applecross Tennis Club Inc,3,WA
50000,Bunbury Ex Students Hockey Club Inc,3,WA
17500,Carine Cats Ball Club,3,WA
49850,Chidlow Cats Basketball Club Inc,3,WA
20500,City Of Fremantle,3,WA
197306,City Of Kalamunda,3,WA
300000,City Of Mandurah,3,WA
184000,City Of Vincent,3,WA
200000,East Fremantle Lawn Tennis Club,3,WA
42500,Edgewater Cricket Club Incorporated,3,WA
20000,Forrestfield Tennis Club (Inc),3,WA
89359,Joondalup Bowling Club,3,WA
259602,Kalamunda Club Inc,3,WA
248048,Katanning Country Club Incorporated,3,WA
45850,Mahogany Creek Progress Association,3,WA
4125,Manning Memorial Bowling Club Inc.,3,WA
200000,Margaret River Hockey Club,3,WA
45000,Modernians Hockey Club Inc,3,WA
50000,Mount Walker Sports Club Inc.,3,WA
296865,North Coast Ball Club Inc,3,WA
199950,Rockingham Basketball & Recreation Association,3,WA
300000,Rowing Wa,3,WA
76000,Shire Of Broome,3,WA
287823,Shire Of Coolgardie,3,WA
13250,Shire Of Mundaring,3,WA
16373,Shire Of Mundaring,3,WA
50000,Shire Of Upper Gascoyne,3,WA
185620,Shire Wyndham East Kimberley,3,WA
50000,St. Anne'S Primary School,3,WA
31516,Swan Districts Football Club,3,WA
33000,Tarcoola Park Tennis Club,3,WA
225000,Town Of Claremont - Claremont Aquatic Centre,3,WA
234405,Town Of Victoria Park,3,WA
72900,Yiyili Community Indigenous Corporation,3,WA
