amount,club,rnd,state
360000,Canterbury Bankstown Tennis Association Inc.,3,NSW
350000,Canterbury-Bankstown Council,3,NSW
150000,Central Coast Council,3,NSW
42000,Coolamatong Snowy Mountains Country Club Limited,3,NSW
20000,Cumberland Council,3,NSW
32220,Dunoon United Football Club,3,NSW
35000,Eastern Suburbs Leagues Club Pty Ltd - Kingswood Sports Club,3,NSW
475000,Eurobodalla Shire Council,3,NSW
169098,Fairfield City Council,3,NSW
371000,Football Nsw,3,NSW
100000,Forest Rangers Football Club Incorporated,3,NSW
23350,Goulburn Rodeo Club Inc,3,NSW
15000,Guyra Gun Club,3,NSW
195800,Gwydir Shire Council,3,NSW
200000,Hawkesbury District Agricultural Association,3,NSW
200000,Hockey Coffs Coast Inc,3,NSW
500000,Hunters Hill Rugby Union Football Club,3,NSW
42000,Jamberoo Rugby League Football Club,3,NSW
142000,Kingscliff Tennis Club Inc,3,NSW
110265,Kooloora Community Centre,3,NSW
16500,Kurri Kurri Tennis Club Incorporated,3,NSW
24720,Kyogle Golf Club Ltd,3,NSW
45000,Lake Macquarie Dockers Afl Club,3,NSW
200000,Lismore Tennis Club Inc,3,NSW
200000,Merewether Carlton Rugby Union Club,3,NSW
50000,Moorebank Sports Soccer Club,3,NSW
500000,Mosman Rowing Club,3,NSW
91220,Mt Annan Football Club,3,NSW
19425,Muswellbrook And District Junior Rugby League Football Club,3,NSW
15000,Nepean Football Club,3,NSW
57326,Newcastle District Tennis Association,3,NSW
160000,Northern Beaches Council,3,NSW
60642,Paramount Tennis Club Inc.,3,NSW
500000,Pennant Hills Afl Club,3,NSW
50000,Penrith City Council,3,NSW
50000,Penrith City Council,3,NSW
49000,Penrith District Netball Association,3,NSW
496214,Port Stephens Council,3,NSW
10828,Portland Golf Club Ltd,3,NSW
50000,Queanbeyan District Cricket Club Incorporated,3,NSW
190000,Randwick City Council,3,NSW
50000,Sans Souci Football Club Inc,3,NSW
21042,Sawtell Bowling And Recreation Club Ltd,3,NSW
137530,Sawtell/ Toormina Australian Football Club Inc,3,NSW
80000,Shellharbour City Council,3,NSW
115634,Shelly Beach Golf Club,3,NSW
488399,Southern Ettalong Football Club,3,NSW
195000,Southern Highlands Hockey Centre Committee,3,NSW
42500,St George Amd Sutherland Shire Giants Baseball Club Incorporated,3,NSW
48647,St Peter And St Paul Coptic Orthodox Church,3,NSW
25000,Tilligerry Community Association,3,NSW
33000,Urunga Cricket Club Incorporated,3,NSW
5000,Vaucluse Amateur 12' Sailing Club Inc,3,NSW
450000,Wagga Wagga And District Amateur Football Association Incorporated,3,NSW
14533,Wellington Golf Club Ltd,3,NSW
40000,City Of Palmerston,1,NT
131099,Macdonnell Regional Council,1,NT
500000,Northern Territory Cricket Association,1,NT
153233,West Daly Regional Council,1,NT
102251,Alice Springs Baseball Association,2,NT
493056,Darwin Basketball Association,2,NT
200000,Katherine Town Council,2,NT
239050,Nhulunbuy Bmx Club Inc,2,NT
303682,Alice Springs Indian Community Cricket Club (Alice Tigers) Inc.,3,NT
500000,Nt Field And Game Association Inc,3,NT
191550,West Daly Regional Council,3,NT
500000,Brothers Rugby Club Inc,1,QLD
21929,Bundaberg And District Table Tennis Association Inc,1,QLD
102343,Bundaberg Golf Club Inc,1,QLD
312918,Cahill Park Sports Complex Incorporated,1,QLD
36900,Caloundra Rugby Union Club Incorporated,1,QLD
437400,Camp Hill Carina Welfare Association,1,QLD
98151,Carindale Districts Junior Australian Football Club Inc.,1,QLD
38500,Concise Equestrian Centre,1,QLD
337000,Edge Hill United Football Club Inc,1,QLD
48199,Freestone State School Parents And Citizens Association,1,QLD
154000,Getting Kids Active Inc,1,QLD
184500,Gracemere Sports Club,1,QLD
50000,Gulf Christian College,1,QLD
50000,Help Enterprises Limited,1,QLD
33000,Ipswich Basketball Association Inc,1,QLD
159990,Kandanga Tennis Club Inc.,1,QLD
45000,Kilcoy Golf Club Inc,1,QLD
146284,Kumbia Tennis Association Inc,1,QLD
500000,Mackay Hockey Association,1,QLD
157400,Maroochydore Rugby Union Club Incorporated,1,QLD
137900,Mckinlay Shire Council,1,QLD
60113,Mooloolaba Bowls Club Inc,1,QLD
21000,Moranbah Tennis Association Inc,1,QLD
66036,Mundubbera Horse & Pony Club Inc,1,QLD
30000,Musgrave Hill Bowls Club Inc.,1,QLD
23800,Noosa District Softball Association Inc,1,QLD
362440,North Queensland Football Limited,1,QLD
65800,North Toowoomba Bowls Club Inc,1,QLD
500000,Ormeau Junior Rugby League Football Club Inc,1,QLD
451900,Peninsula And Districts Football And Sporting Club Incorporated,1,QLD
200000,Pine River Rowing Club,1,QLD
184382,Redlands Cricket Inc.,1,QLD
228869,Rockhampton Basketball Incorporated,1,QLD
300000,Sandgate Hawks Sporting Club,1,QLD
122161,Souths Rugby Union Club Inc,1,QLD
160870,"St Patrick'S Catholic School, Winton",1,QLD
6369,Suncoast Hinterland Bmx Club,1,QLD
50000,Wellington Point Bowls Club Inc.,1,QLD
30000,Widgee District Hall And Recreation Association Inc.,1,QLD
88462,Wolston Park Centenary Cricket Club Inc.,1,QLD
500000,Bardon Latrobe Football Club Inc.,2,QLD
13000,Brisbane Rugby League Referees Association Inc,2,QLD
48000,Burdekin Shire Council,2,QLD
110000,Cairns District Junior Rugby League Ltd,2,QLD
199999,Callide United Football Club,2,QLD
330000,Capricorn Coast Netball Association,2,QLD
194797,Dolphins Football Club,2,QLD
99817,Edmonton Storm Seniors Rugby League Club,2,QLD
190000,Football Queensland South West Ltd,2,QLD
30000,Gladstone District Dirtriders Club Inc,2,QLD
96800,Gold Coast Albert Junior Tennis Club,2,QLD
150000,Gold Coast City Council,2,QLD
149500,Hervey Bay And District Tennis Association,2,QLD
112820,Holland Park Hawks Football Club Inc,2,QLD
