,amount,club,rnd,state,address,lat,lng,name,types,electorate
152,80000,Shellharbour City Council,3,NSW,"Shellharbour, NSW, Australia",-34.5825321,150.7795452,Shellharbour,"administrative_area_level_2,political",Whitlam
153,115634,Shelly Beach Golf Club,3,NSW,"Shelly Beach Rd, Shelly Beach NSW 2261, Australia",-33.3697159,151.4868857,Shelly Beach Golf Club,"bar,restaurant,food,point_of_interest,store,establishment",Dobell
154,195000,Southern Highlands Hockey Centre Committee,3,NSW,"37 Meranie St, Welby NSW 2575, Australia",-34.4384907,150.4286418,Welby Hockey Turf,"point_of_interest,establishment",Whitlam
155,48647,St Peter And St Paul Coptic Orthodox Church,3,NSW,"34 Illawon St, Berkeley NSW 2506, Australia",-34.479,150.8431694,St Peter & Paul Orthodox Church,"church,place_of_worship,point_of_interest,establishment",Whitlam
156,25000,Tilligerry Community Association,3,NSW,"14 Kenneth Parade, Lemon Tree Passage NSW 2319, Australia",-32.7338084,152.032156,Tilligerry Community Centre,"point_of_interest,establishment",Paterson
157,5000,Vaucluse Amateur 12' Sailing Club,3,NSW,"Wharf Rd, Vaucluse NSW 2030, Australia",-33.8467514,151.2795454,Vaucluse Amateur 12 foot Sailing Club,"point_of_interest,establishment",Wentworth
158,14533,Wellington Golf Club Ltd,3,NSW,"Caves Road, Wellington NSW 2820, Australia",-32.623435,148.933238,Wellington Golf Club,"point_of_interest,establishment",Calare
159,40000,City Of Palmerston,1,NT,"Palmerston City NT 0830, Australia",-12.4784614,130.9851852,Palmerston City,"locality,political",Solomon
160,131099,Macdonnell Regional Council,1,NT,"Macdonnell, NT 0872, Australia",-24.798151,133.1747162,Macdonnell,"administrative_area_level_2,political",Lingiari
161,500000,Northern Territory Cricket Association,1,NT,"The Pavillion, Temira Crescent, Australia",-12.454974,130.826064,Darwin Cricket Club,"point_of_interest,establishment",Solomon
162,153233,West Daly Regional Council,1,NT,"Victoria - Daly, NT, Australia",-16.9304135,130.6346851,Victoria - Daly,"administrative_area_level_2,political",Lingiari
163,493056,Darwin Basketball Association,2,NT,"220 Abala Rd, Marrara NT 0812, Australia",-12.4000412,130.8814921,Darwin Basketball Association,"point_of_interest,establishment",Solomon
164,200000,Katherine Town Council,2,NT,"Katherine, NT, Australia",-14.6313686,132.0781796,Katherine,"administrative_area_level_2,political",Lingiari
165,500000,Nt Field And Game Association,3,NT,"240 Brandt Rd, Micket Creek NT 0830 Brandt Rd, Micket Creek NT 0830, Australia",-12.4025168,130.9511874,Northern Territory Field and Game Assocation Incorporated,"point_of_interest,establishment",Solomon
166,191550,West Daly Regional Council,3,NT,"Victoria - Daly, NT, Australia",-16.9304135,130.6346851,Victoria - Daly,"administrative_area_level_2,political",Lingiari
167,500000,Brothers Rugby Club,1,QLD,"103 Crosby Rd, Albion QLD 4010, Australia",-27.4329779,153.0472167,Brothers Rugby Club,"point_of_interest,establishment",Brisbane
168,21929,Bundaberg And District Table Tennis Association,1,QLD,"4670/61 Kendalls Rd, Avoca QLD 4670, Australia",-24.8924251,152.3117123,Bundaberg and District Table Tennis Association,"point_of_interest,establishment",Hinkler
169,102343,Bundaberg Golf Club,1,QLD,"Bundaberg North QLD 4670, Australia",-24.854645,152.3223008,Bundaberg Golf Course,"point_of_interest,establishment",Hinkler
170,312918,Cahill Park Sports Complex Orporated,1,QLD,"64 Buaraba St, Gatton QLD 4343, Australia",-27.5493804,152.2871869,Cahill Park Sports Complex,"point_of_interest,establishment",Wright
171,36900,Caloundra Rugby Union Club Orporated,1,QLD,"Lighthouse Park, 81 Arthur Street, Caloundra QLD 4551, Australia",-26.798838,153.12651,Caloundra Rugby Union Club,"bar,point_of_interest,establishment",Fisher
172,437400,Camp Hill Carina Welfare Association,1,QLD,"56 Zahel St, Carina QLD 4152, Australia",-27.4921227,153.0977644,Camp Hill Carina Welfare Association,"point_of_interest,establishment",Griffith
173,98151,Carindale Districts Junior Australian Football Club,1,QLD,"Belmont State School, Corner Scrub Road and Bridgnorth Street, Carindale QLD 4152, Australia",-27.503362,153.115147,Carindale Cougars Junior Australian Football Club,"point_of_interest,establishment",Bonner
174,38500,Concise Equestrian Centre,1,QLD,"775 Stockroute Rd, Palmyra QLD 4751, Australia",-21.2053655,149.0759399,"CONCISE EQUESTRIAN CENTRE, MACKAY","point_of_interest,establishment",Capricornia
175,337000,Edge Hill United Football Club,1,QLD,"Macnamara St & Russell St, Cairns City QLD 4870, Australia",-16.9052441,145.7485089,Edge Hill United Football Club,"point_of_interest,establishment",Leichhardt
176,48199,Freestone State School Parents And Citizens Association,1,QLD,"82 Freestone School Rd, Freestone QLD 4370, Australia",-28.1346367,152.1379817,Freestone State School,"primary_school,school,point_of_interest,establishment",Maranoa
177,154000,Getting Kids Active,1,QLD,"164 Mayers St, Manunda QLD 4870, Australia",-16.9147555,145.7437707,GETTING KIDS ACTIVE INC.,"point_of_interest,establishment",Leichhardt
178,184500,Gracemere Sports Club,1,QLD,"Brooks St, Gracemere QLD 4702, Australia",-23.443444,150.449727,Gracemere Lake Golf Club,"point_of_interest,establishment",Flynn
179,50000,Gulf Christian College,1,QLD,"2 McKenzie Rd, Woombye QLD 4559, Australia",-26.6441812,152.9595833,Nambour Christian College,"university,primary_school,secondary_school,school,point_of_interest,establishment",Fairfax
180,50000,Help Enterprises Limited,1,QLD,"520 Curtin Ave E, Eagle Farm QLD 4009, Australia",-27.4371828,153.0978161,Help Enterprises,"point_of_interest,establishment",Lilley
181,33000,Ipswich Basketball Association,1,QLD,"2A Ross Llewellyn Dr, Booval QLD 4304, Australia",-27.6110317,152.8003984,Ipswich Basketball Association,"point_of_interest,establishment",Blair
182,159990,Kandanga Tennis Club,1,QLD,"1 Pine St, Kandanga QLD 4570, Australia",-26.3890729,152.6799023,Kandanga Tennis Club,"point_of_interest,establishment",Wide Bay
183,45000,Kilcoy Golf Club,1,QLD,"53 Carseldine St, Kilcoy QLD 4515, Australia",-26.9354998,152.5593925,Kilcoy Golf Club,"point_of_interest,establishment",Blair
184,500000,Mackay Hockey Association,1,QLD,"2 Harney St, South Mackay QLD 4740, Australia",-21.1562341,149.1731787,Mackay Hockey Association Inc.,"point_of_interest,establishment",Dawson
185,157400,Maroochydore Rugby Union Club Orporated,1,QLD,"Fifth Ave, Maroochydore QLD 4558, Australia",-26.6586055,153.1014263,Maroochydore Rugby Union Club,"point_of_interest,establishment",Fairfax
186,137900,Mckinlay Shire Council,1,QLD,"Mckinlay, QLD, Australia",-20.3349711,141.6834275,Mckinlay,"administrative_area_level_2,political",Kennedy
187,60113,Mooloolaba Bowls Club,1,QLD,"Brisbane Rd & Kapala St, Mooloolaba QLD 4557, Australia",-26.684556,153.117087,Mooloolaba Bowls Club,"restaurant,food,point_of_interest,establishment",Fisher
188,21000,Moranbah Tennis Association,1,QLD,"LOT 52 Tallon St, Moranbah QLD 4744, Australia",-22.0064372,148.0533887,Moranbah Tennis Association Inc.,"point_of_interest,establishment",Capricornia
189,30000,Musgrave Hill Bowls Club,1,QLD,"Musgrave Ave & Kumbari Ave, Gold Coast QLD 4215, Australia",-27.9563025,153.3953007,Musgrave Hill Bowls Club,"point_of_interest,establishment",Moncrieff
190,23800,Noosa District Softball Association,1,QLD,"31 Butler St, Tewantin QLD 4565, Australia",-26.39237,153.0264707,Noosa District Softball Association,"point_of_interest,establishment",Wide Bay
191,362440,North Queensland Football Limited,1,QLD,"Mervyn Crossman Dr, Annandale QLD 4814, Australia",-19.3125258,146.8026034,NQ Football Inc,"point_of_interest,establishment",Dawson
192,65800,North Toowoomba Bowls Club,1,QLD,"Lemnos St, Toowoomba City QLD 4350, Australia",-27.5408941,151.9576808,North Toowoomba Bowls Club,"point_of_interest,establishment",Groom
193,500000,Ormeau Junior Rugby League Football Club,1,QLD,"Orange Mountain Rd, Ormeau QLD 4208, Australia",-27.7852966,153.2536395,Ormeau Shearers Junior Rugby League Club,"point_of_interest,establishment",Forde
194,200000,Pine River Rowing Club,1,QLD,"328 Dayboro Rd, Kurwongbah QLD 4503, Australia",-27.2567266,152.9520364,Pine Rivers Rowing Club,"point_of_interest,establishment",Dickson
195,184382,Redlands Cricket,1,QLD,"347-371 Birkdale Rd, Wellington Point QLD 4160, Australia",-27.4897394,153.2355514,Redlands Cricket Club,"point_of_interest,establishment",Bowman
196,300000,Sandgate Hawks Sporting Club,1,QLD,"80/120 Lemke Rd, Taigum QLD 4018, Australia",-27.3362547,153.0442658,Hawks Sporting Club,"cafe,restaurant,food,point_of_interest,store,establishment",Lilley
197,122161,Souths Rugby Union Club,1,QLD,"Chipsy Wood Oval, Yeronga Park,, Frederick Street, Annerley QLD 4103, Australia",-27.5199224,153.0256117,Souths Rugby Union Club,"point_of_interest,establishment",Moreton
198,160870,St Patrick'S Catholic School Winton,1,QLD,"Oondooroo St, Winton QLD 4735, Australia",-22.3846579,143.0402361,St Patrick's School,"school,point_of_interest,establishment",Maranoa
199,6369,Suncoast Hinterland Bmx Club,1,QLD,"221/227 Mooloolah Connection Rd, Glenview QLD 4553, Australia",-26.77457,153.006464,Hinterland BMX Track,"point_of_interest,establishment",Fisher
200,50000,Wellington Point Bowls Club,1,QLD,"Anson Rd, Wellington Point QLD 4160, Australia",-27.4899451,153.2334129,Wellington Point Bowls Club,"point_of_interest,establishment",Bowman
201,30000,Widgee District Hall And Recreation Association,1,QLD,"22 Upper Widgee Rd, Widgee QLD 4570, Australia",-26.2025579,152.4363936,Widgee District Hall & Recreation Association Inc.,"point_of_interest,establishment",Wide Bay
202,88462,Wolston Park Centenary Cricket Club,1,QLD,"Orford Dr, Wacol QLD 4076, Australia",-27.5989401,152.9126852,WPC Cricket (Wolston Park Centenary Cricket Club),"point_of_interest,establishment",Oxley
203,500000,Bardon Latrobe Football Club,2,QLD,"41 David Ave, Bardon QLD 4065, Australia",-27.4572859,152.9760207,Bardon Latrobe Football Club,"point_of_interest,establishment",Ryan
204,13000,Brisbane Rugby League Referees Association,2,QLD,"Brougham St, Fairfield QLD 4103, Australia",-27.5075322,153.0233161,Brisbane Rugby League Referees Assocication,"point_of_interest,establishment",Moreton
205,48000,Burdekin Shire Council,2,QLD,"145 Young St, Ayr QLD 4807, Australia",-19.5774646,147.4062066,Burdekin Shire Council,"local_government_office,point_of_interest,establishment",Dawson
206,110000,Cairns District Junior Rugby League Ltd,2,QLD,"172-184 Irene St, Mooroobool QLD 4870, Australia",-16.929368,145.730911,Kangaroo Rugby League Club Inc,"point_of_interest,establishment",Leichhardt
207,199999,Callide United Football Club,2,QLD,"Jambin, Dakenbah Road, Biloela QLD 4715, Australia",-24.381309,150.503418,Callide United Soccer Fields,"point_of_interest,establishment",Flynn
208,194797,Dolphins Football Club,2,QLD,"Klingner Rd & Ashmole Rd, Redcliffe QLD 4020, Australia",-27.2188292,153.0972298,Dolphin Oval,"stadium,point_of_interest,establishment",Petrie
209,190000,Football Queensland South West Ltd,2,QLD,"57 Brook St, Toowoomba City QLD 4350, Australia",-27.547349,151.9497849,Football Queensland South West,"point_of_interest,establishment",Groom
210,96800,Gold Coast Albert Junior Tennis Club,2,QLD,"111/111 Christine Ave, Burleigh Waters QLD 4220, Australia",-28.0797995,153.432945,Gold Coast Albert Junior Tennis Center,"school,health,point_of_interest,establishment",McPherson
211,150000,Gold Coast City Council,2,QLD,"Gold Coast, QLD, Australia",-28.0074829,153.3446649,Gold Coast,"administrative_area_level_2,political",Moncrieff
212,149500,Hervey Bay And District Tennis Association,2,QLD,"79 Colyton St, Torquay QLD 4655, Australia",-25.298967,152.866524,Hervey Bay District & Tennis Association,"point_of_interest,establishment",Hinkler
213,112820,Holland Park Hawks Football Club,2,QLD,"254 Boundary Rd, Camp Hill QLD 4152, Australia",-27.5086547,153.0760563,Holland Park Hawks FC,"point_of_interest,establishment",Griffith
214,33932,Home Hill Tennis Association,2,QLD,"First St, Home Hill QLD 4806, Australia",-19.670669,147.4208377,Home Hill Tennis Association,"point_of_interest,establishment",Dawson
215,500000,Ipswich City Council,2,QLD,"City of Ipswich, QLD, Australia",-27.6955437,152.6853649,City of Ipswich,"administrative_area_level_2,political",Blair
216,280732,Jimboomba Branch Little Athletics,2,QLD,"Jimboomba QLD 4280, Australia",-27.8303236,153.0125503,Jimboomba Little Athletics Centre,"park,point_of_interest,establishment",Wright
217,141442,Jimboomba Netball Association,2,QLD,"Jimboomba QLD 4280, Australia",-27.8378883,153.029638,Jimboomba Netball Association,"point_of_interest,establishment",Wright
218,264618,Logan Basketball,2,QLD,"146-170 Bryants Rd, Shailer Park QLD 4128, Australia",-27.6650476,153.1883632,Logan Basketball Inc.,"point_of_interest,establishment",Forde
219,50000,Malanda Horse And Pony Club,2,QLD,"Mary St &, Thomas St, Malanda QLD 4885, Australia",-17.350246,145.5901337,Malanda Horse and Pony Club,"point_of_interest,establishment",Kennedy
220,200000,Maleny Golf Club,2,QLD,"15 Porters Ln, North Maleny QLD 4552, Australia",-26.75847,152.865378,Maleny Golf Club,"point_of_interest,establishment",Fisher
221,150000,Maroochydore Football Club Orporated,2,QLD,"462 Maroochydore Rd, Kuluin QLD 4558, Australia",-26.659981,153.047198,Maroochydore Soccer Club,"point_of_interest,establishment",Fairfax
222,426300,Maryborough And District Hockey Association,2,QLD,"Cnr Woodstock & Neptune Sts, Maryborough QLD 4650, Australia",-25.5171548,152.6958384,Maryborough & District Hockey Association Inc.,"point_of_interest,establishment",Wide Bay
223,89496,Middlemount Golf & Country Club,2,QLD,"1 Centenary Dr N, Middlemount QLD 4746, Australia",-22.8157625,148.7119476,Middlemount Golf and Country Club Inc,"point_of_interest,establishment",Capricornia
224,199712,Moreton Bay United Football Club,2,QLD,"Brendale QLD 4500, Australia",-27.3338506,152.9678993,Moreton Bay United Football Club,"point_of_interest,establishment",Dickson
225,14788,Mount Petrie Bowmen,2,QLD,"1485 Old Cleveland Rd, Belmont QLD 4153, Australia",-27.5085042,153.1395449,Mt Petrie Bowmen,"point_of_interest,establishment",Bonner
226,187686,Mt Gravatt Australian Rules Football Club,2,QLD,"Klumpp Rd, Upper Mount Gravatt QLD 4122, Australia",-27.5530791,153.0769394,Clairvaux Football Club,"point_of_interest,establishment",Bonner
227,150395,North Brisbane Fc,2,QLD,"44A Thistle St, Lutwyche QLD 4030, Australia",-27.4219331,153.032153,North Brisbane Football Club,"point_of_interest,establishment",Brisbane
228,369991,Palm Island Aboriginal Shire Council,2,QLD,"1 Main St, Palm Island QLD 4816, Australia",-18.7342624,146.5779285,Palm Island Aboriginal Shire Council,"point_of_interest,establishment",Herbert
229,50000,Pioneer Tennis,2,QLD,"Leisure Ct, South Mackay QLD 4740, Australia",-21.1635749,149.1807334,Pioneer Tennis Inc,"point_of_interest,establishment",Dawson
230,16400,Rochedale Rovers Fc,2,QLD,"Cnr Fulica St &, Underwood Rd, Underwood QLD 4123, Australia",-27.6006215,153.1478736,Rochedale Rovers Football Club,"point_of_interest,establishment",Rankin
231,22000,Slade Point Rugby Club,2,QLD,"2 Wren St, Slade Point QLD 4740, Australia",-21.074731,149.2191226,Slade Point Rugby Union Club,"point_of_interest,establishment",Dawson
232,160000,St Catherine'S United Football Club,2,QLD,"141 Horizon Dr, Middle Park QLD 4074, Australia",-27.5516,152.920805,St Catherines United Football Club,"point_of_interest,establishment",Oxley
233,160531,Surfers Paradise Golf Club Limited,2,QLD,"1 Fairway Dr, Clear Island Waters QLD 4226, Australia",-28.03497,153.40194,Surfers Paradise Golf Club,"point_of_interest,establishment",McPherson
234,4431,Taroom Pony Club,2,QLD,"22 Injune Rd, Taroom QLD 4420, Australia",-25.643165,149.785911,Taroom Polocrosse,"point_of_interest,establishment",Flynn
235,149800,Tennis Gold Coast,2,QLD,"19 Queen St, Southport QLD 4215, Australia",-27.9728706,153.4170388,Tennis Gold Coast,"point_of_interest,establishment",Moncrieff
236,484783,Victoria Point Sharks Sporting Club,2,QLD,"325 Colburn Ave, Victoria Point QLD 4165, Australia",-27.5843391,153.288674,Victoria Point Sharks Sporting Club,"point_of_interest,establishment",Bowman
237,318893,Warwick And District Netball Association,2,QLD,"Wembley Park, Burke St & Robinson St, Coorparoo QLD 4151, Australia",-27.4893438,153.0619373,Metropolitan Districts Netball Association,"point_of_interest,establishment",Griffith
238,180514,Wide Bay Gymnastics Club Orporated,2,QLD,"Walkers Rd, Hervey Bay QLD 4655, Australia",-25.3097914,152.8844249,Wide Bay Gymnastics Club,"gym,health,point_of_interest,establishment",Hinkler
239,7000,Artworks Granite Belt,3,QLD,"18 Davadi St, Stanthorpe QLD 4380, Australia",-28.6575514,151.9365524,ArtWorks Granite Belt,"cafe,food,point_of_interest,establishment",Maranoa
240,56820,Ballinger Park Tennis Club,3,QLD,"Ballinger Park Tennis Club, Ballinger Park Sports Complex, Buderim QLD 4556, Australia",-26.7029427,153.0649712,Ballinger Park Tennis Club,"point_of_interest,establishment",Fairfax
241,14556,Beaudesert Bowls Club,3,QLD,"21-33 Hopkins St, Beaudesert QLD 4285, Australia",-27.9877728,152.9903404,Beaudesert Bowls Club,"point_of_interest,establishment",Wright
242,50000,Beenleigh Multisports Association,3,QLD,"39 Boundary St, Beenleigh QLD 4207, Australia",-27.706191,153.192638,Beenleigh Multisports Association,"point_of_interest,establishment",Forde
243,195000,Beenleigh Multisports Association,3,QLD,"39 Boundary St, Beenleigh QLD 4207, Australia",-27.706191,153.192638,Beenleigh Multisports Association,"point_of_interest,establishment",Forde
244,458994,Bundaberg Rowing Club,3,QLD,"Bundaberg Rowing Club, 4 Rowing Road, Bucca QLD 4670, Australia",-24.8683516,152.075466,Bundaberg Rowing Club,"premise,point_of_interest,establishment",Flynn
245,500000,Caboolture Sports Club Limited,3,QLD,"Station Rd, Morayfield QLD 4506, Australia",-27.1095677,152.9514451,Caboolture Sports Club,"cafe,bar,liquor_store,restaurant,food,point_of_interest,store,establishment",Longman
246,418500,Cairns Cycling Club,3,QLD,"69-b McLeod St, Cairns City QLD 4870, Australia",-16.9198897,145.7685203,"Edge Cycleworks CAIRNS, Queensland Australia","bicycle_store,car_repair,point_of_interest,store,establishment",Leichhardt
247,80000,Gayndah Swimming Club,3,QLD,"8 Cullen Ave, Gayndah QLD 4625, Australia",-25.6282009,151.617575,Gayndah Swimming Pool,"point_of_interest,establishment",Flynn
248,500000,Grange Thistle Soccer Club,3,QLD,"Prince St, Grange QLD 4051, Australia",-27.4215321,153.0186566,Grange Thistle Football Club,"point_of_interest,establishment",Brisbane
249,181000,Granville Hockey Club,3,QLD,"103-113 Steindl St, Granville QLD 4650, Australia",-25.5390492,152.72132,Granville Hockey Club,"point_of_interest,establishment",Wide Bay
250,50000,Ipswich Basketball Association,3,QLD,"2A Ross Llewellyn Dr, Booval QLD 4304, Australia",-27.6110317,152.8003984,Ipswich Basketball Association,"point_of_interest,establishment",Blair
251,16000,Kandanga Country Club,3,QLD,"4 Bowling Club Rd, Kandanga QLD 4570, Australia",-26.3866461,152.6760417,Kandanga Country Club Inc,"point_of_interest,establishment",Wide Bay
252,50000,Lockyer Valley Regional Council,3,QLD,"26 Railway St, Gatton QLD 4343, Australia",-27.557489,152.277028,Lockyer Valley Regional Council,"city_hall,local_government_office,point_of_interest,establishment",Wright
253,491260,Mackay Brothers Football Club,3,QLD,"108 Bridge Rd, South Mackay QLD 4740, Australia",-21.1613042,149.1811911,City Brothers Football Club,"point_of_interest,establishment",Dawson
254,151868,Maroochydore Tennis Club,3,QLD,"Beach Parade & Fifth Ave, Cotton Tree QLD 4558, Australia",-26.6564339,153.1011397,Maroochydore Tennis Club,"point_of_interest,establishment",Fairfax
255,45000,Mountain Creek Mooloolaba Swimming Club,3,QLD,"Lady Musgrave Dr, Mountain Creek QLD 4557, Australia",-26.6896334,153.1034419,Mountain Creek Aquatic Complex,"point_of_interest,establishment",Fairfax
256,199982,North Star Football Association,3,QLD,"24 Jennings St, Zillmere QLD 4034, Australia",-27.3609857,153.0410005,North Star Football Club,"point_of_interest,establishment",Lilley
257,27000,Pine Central Holy Spirit Rugby League Football Club,3,QLD,"Les Hughes Sporting Complex - Marching G, 119 Francis Rd, Bray Park QLD 4500, Australia",-27.2879708,152.9700487,Pine Central Holy Spirit Rugby League Football Club,"point_of_interest,establishment",Dickson
258,50000,Pomona Bowls Club,3,QLD,"4-6 School St, Pomona QLD 4568, Australia",-26.3672572,152.8562059,Pomona Bowls Club,"point_of_interest,establishment",Wide Bay
259,101584,Queens Cricket Club Orporated,3,QLD,"Geoffrey Ave, Southport QLD 4215, Australia",-27.9586117,153.3967977,Queens Cricket Club,"point_of_interest,establishment",Moncrieff
260,92334,Redlands United Football Club,3,QLD,"60-76 Waterloo St, Cleveland QLD 4163, Australia",-27.5320222,153.2623537,COMPASS Grounds - Redlands United Football Club,"point_of_interest,establishment",Bowman
261,420000,Somerset Regional Council,3,QLD,"2 Redbank St, Esk QLD 4312, Australia",-27.240737,152.42201,Somerset Regional Council Esk Administration Centre,"local_government_office,point_of_interest,establishment",Blair
262,135949,Sunnybank Saints Soccer Club,3,QLD,"95 Lister St, Sunnybank QLD 4109, Australia",-27.5785112,153.0588384,Sunnybank Saints Soccer Club,"point_of_interest,establishment",Moreton
263,500000,Sunshine Coast Regional Council,3,QLD,"Sunshine Coast, QLD, Australia",-26.7468133,152.9205918,Sunshine Coast,"administrative_area_level_2,political",Fisher
264,66885,Tamborine Pony Club,3,QLD,"2205 Beaudesert Beenleigh Rd, Tamborine QLD 4270, Australia",-27.880319,153.1316401,Tamborine Pony Club,"point_of_interest,establishment",Wright
265,500000,The Redcliffe District Rugby League Football Club Orporated,3,QLD,"Klingner Rd & Ashmole Rd, Redcliffe QLD 4020, Australia",-27.2188292,153.0972298,Dolphin Oval,"stadium,point_of_interest,establishment",Petrie
266,387400,Toowong Football Club,3,QLD,"Memorial Park, 65 Sylvan Rd, Toowong QLD 4066, Australia",-27.4800451,152.9930474,Western Districts Rugby Football Club,"point_of_interest,establishment",Ryan
267,497000,Townsville Basketball,3,QLD,"Murray Sporting Complex, 40-48 Murray Lyons Cres, Annandale QLD 4814, Australia",-19.3075706,146.8017068,Townsville Basketball,"point_of_interest,establishment",Dawson
268,96966,Tweed Heads And Coolangatta Surf Lifesaving Club,3,QLD,"Marine Parade & Hill Street, Coolangatta QLD 4225, Australia",-28.1669627,153.5443592,Tweed Heads & Coolangatta Surf Life Saving Club,"point_of_interest,establishment",McPherson
269,45870,Baptist Care (Sa) Orporated,1,SA,"130 Rose Terrace, Wayville SA 5034, Australia",-34.94301,138.585209,Baptist Care SA,"point_of_interest,establishment",Adelaide
270,456140,Blackwood Football Club Orporated,1,SA,"Trevor Terrace, Blackwood SA 5051, Australia",-35.0336147,138.6078072,Blackwood Football Club,"point_of_interest,establishment",Boothby
271,250000,City Of Port Adelaide Enfield,1,SA,"Port Adelaide Enfield, SA, Australia",-34.840461,138.56876,Port Adelaide Enfield,"administrative_area_level_2,political",Port Adelaide
272,500000,City Of Tea Tree Gully,1,SA,"Tea Tree Gully SA 5091, Australia",-34.826,138.726,Tea Tree Gully,"locality,political",Makin
273,50000,Clare Motorcycle Club,1,SA,"Clare SA 5453, Australia",-33.8397986,138.6127513,Clare,"locality,political",Wakefield
274,18200,Glenelg District Cricket Club,1,SA,"Brighton Rd, Glenelg East SA 5045, Australia",-34.9831885,138.520972,Glenelg District Cricket Club,"point_of_interest,establishment",Hindmarsh
275,50000,Greenock Cricket Club,1,SA,"Greenock SA 5360, Australia",-34.457778,138.9275,Greenock,"locality,political",Wakefield
276,12500,Hahndorf Bowling Club,1,SA,"43a Church St, Hahndorf SA 5245, Australia",-35.0300908,138.8137769,The Hahndorf Bowling Club,"point_of_interest,establishment",Mayo
277,500000,Hectorville Sports And Community Club,1,SA,"31 Fisher St, Magill SA 5072, Australia",-34.900897,138.669543,Hectorville Sports and Community Club,"point_of_interest,establishment",Sturt
278,50000,Peake Gardens Riverside Tennis Club,1,SA,"6/24 Bice St, Marleston SA 5033, Australia",-34.9452528,138.5687045,Peake Gardens Riverside Tennis Club,"school,health,point_of_interest,establishment",Hindmarsh
279,500000,Renmark Paringa Council,1,SA,"Renmark Paringa, SA, Australia",-34.1492214,140.8872648,Renmark Paringa,"administrative_area_level_2,political",Barker
280,500000,South Australian Cricket Association Limited,1,SA,"Adelaide Oval, War Memorial Dr, North Adelaide SA 5006, Australia",-34.9168263,138.5962914,The South Australian Cricket Association,"point_of_interest,establishment",Adelaide
281,171511,South Australian National Football League (Sanfl),1,SA,"Level 2, Riverbank Stand, War Memorial Dr, North Adelaide SA 5006, Australia",-34.9158232,138.597069,SANFL,"point_of_interest,establishment",Adelaide
282,8342,Sunnybrae Pony Club Orporated,1,SA,"25 Magazine Rd, Wingfield SA 5013, Australia",-34.83754,138.580905,Sunnybrae Pony Club,"point_of_interest,establishment",Port Adelaide
283,30000,The Cove Bmx Club Orporated,1,SA,"2 Oval Rd, Hallett Cove SA 5158, Australia",-35.0868861,138.5056472,Cove BMX Track,"point_of_interest,establishment",Kingston
284,50000,The Royal Adelaide Golf Club,1,SA,"328 Tapleys Hill Rd, Seaton SA 5023, Australia",-34.8962558,138.5102055,The Royal Adelaide Golf Club,"point_of_interest,establishment",Hindmarsh
285,115000,Victor Harbor Football Club,1,SA,"16 Armstrong Rd, Victor Harbor SA 5211, Australia",-35.5549085,138.60185,Encounter Bay Football Club,"point_of_interest,establishment",Mayo
286,8000,Wheelchair Sports Association Of South Australia,1,SA,"27 Valetta Rd, Kidman Park SA 5025, Australia",-34.9149021,138.5297851,SA Sports Medicine Association,"point_of_interest,establishment",Hindmarsh
287,154011,Burnside Lacrosse Club Orporated,2,SA,"Devereux Rd, Linden Park SA 5065, Australia",-34.9456281,138.6511368,Burnside Lacrosse Club,"point_of_interest,establishment",Sturt
288,320200,City Of Playford,2,SA,"Playford, SA, Australia",-34.6666391,138.6589406,Playford,"administrative_area_level_2,political",Wakefield
289,151600,City Of Prospect,2,SA,"Prospect, SA, Australia",-34.8828879,138.5937955,Prospect,"administrative_area_level_2,political",Adelaide
290,396466,Corporation Of The City Of Marion,2,SA,"245 Sturt Rd, Sturt SA 5047, Australia",-35.018103,138.551834,City of Marion Council,"local_government_office,point_of_interest,establishment",Boothby
291,200000,Glenunga Tennis Club,2,SA,"99 L'Estrange St, Glenunga SA 5064, Australia",-34.9478594,138.6358946,Glenunga High School Tennis Courts,"point_of_interest,establishment",Sturt
292,124000,Goodwood Saints Football Club,2,SA,"Curzon Ave, Millswood SA 5034, Australia",-34.9559685,138.5826175,Goodwood Saints Football Club Inc.,"point_of_interest,establishment",Adelaide
293,40000,Millicent Football Netball Club,2,SA,"1 Plunkett Terrace, Millicent SA 5280, Australia",-37.5959113,140.3417214,Millicent Football Club,"point_of_interest,establishment",Barker
294,50000,Mount Crawford Dressage Club Orporated,2,SA,"38 Cowell Rd, Mount Crawford SA 5351, Australia",-34.6843901,138.9986399,Mount Crawford Dressage Club,"point_of_interest,establishment",Barker
295,35000,Murray Bridge Lawn Tennis Association,2,SA,"Sturt Reserve Rd, Murray Bridge SA 5253, Australia",-35.1197506,139.2819858,Murray Bridge Lawn Tennis Association,"point_of_interest,establishment",Barker
296,80000,Naracoorte United Soccer Club,2,SA,"Sports Centre Drive, Naracoorte SA 5271, Australia",-36.9490419,140.7318833,Naracoorte United Soccer Club,"point_of_interest,establishment",Barker
297,78800,Port Adelaide District Baseball Club,2,SA,"Swan Terrace, Semaphore South SA 5019, Australia",-34.8467154,138.4845816,Port Adelaide Baseball Club,"point_of_interest,establishment",Port Adelaide
298,14524,Port Macdonnell And District Bowling Club,2,SA,"4 Elizabeth St, Port Macdonnell SA 5291, Australia",-38.0509245,140.6989837,Port Mac Donnell & District Bowling Club Inc.,"point_of_interest,establishment",Barker
